 1  Pix  0  0
 2  Pix  0  1
 0  Pix  0  2
 2  Pix  0  3
 2  Pix  0  4
 4  Pix  0  5
 4  Pix  0  6
 2  Pix  0  7
 0  Pix  0  8
 2  Pix  0  9
 0  Pix  0 10
 2  Pix  0 11
 3  Pix  0 12
 0  Pix  0 13
 3  Pix  0 14
 3  Pix  0 15
 1  Pix  0 16
 3  Pix  0 17
 1  Pix  0 18
 2  Pix  0 19
 3  Pix  0 20
 3  Pix  0 21
 0  Pix  0 22
 4  Pix  0 23
 5  Pix  0 24
 0  Pix  0 25
 3  Pix  0 26
 0  Pix  0 27
 4  Pix  0 28
 1  Pix  0 29
 1  Pix  0 30
 1  Pix  0 31
 3  Pix  0 32
 1  Pix  0 33
 1  Pix  0 34
 1  Pix  0 35
 0  Pix  0 36
 2  Pix  0 37
 1  Pix  0 38
 2  Pix  0 39
 3  Pix  0 40
 1  Pix  0 41
 0  Pix  0 42
 3  Pix  0 43
 3  Pix  0 44
 1  Pix  0 45
 3  Pix  0 46
 3  Pix  0 47
 6  Pix  0 48
 3  Pix  0 49
 1  Pix  0 50
 5  Pix  0 51
 3  Pix  0 52
 3  Pix  0 53
 0  Pix  0 54
 0  Pix  0 55
 3  Pix  0 56
 6  Pix  0 57
 3  Pix  0 58
 4  Pix  0 59
 3  Pix  0 60
 5  Pix  0 61
 3  Pix  0 62
 3  Pix  0 63
 4  Pix  0 64
 1  Pix  0 65
 2  Pix  0 66
 0  Pix  0 67
 2  Pix  0 68
 3  Pix  0 69
 1  Pix  0 70
 3  Pix  0 71
 5  Pix  0 72
 2  Pix  0 73
 2  Pix  0 74
 3  Pix  0 75
 4  Pix  0 76
 4  Pix  0 77
 4  Pix  0 78
 4  Pix  0 79
 2  Pix  1  0
 2  Pix  1  1
 2  Pix  1  2
 0  Pix  1  3
 0  Pix  1  4
 4  Pix  1  5
 2  Pix  1  6
 4  Pix  1  7
 4  Pix  1  8
 2  Pix  1  9
 3  Pix  1 10
 6  Pix  1 11
 3  Pix  1 12
 3  Pix  1 13
 3  Pix  1 14
 6  Pix  1 15
 0  Pix  1 16
 1  Pix  1 17
 1  Pix  1 18
 1  Pix  1 19
 2  Pix  1 20
 2  Pix  1 21
 1  Pix  1 22
 1  Pix  1 23
 0  Pix  1 24
 2  Pix  1 25
 6  Pix  1 26
 3  Pix  1 27
 4  Pix  1 28
 3  Pix  1 29
